,Response,Occurrences
0,"Occurrences found:
Ayah (8): وَخَلَقْنَاكُمْ أَزْوَاجًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا
Ayah (16): وَجَنَّاتٍ أَلْفَافًا
Ayah (21): إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا
Ayah (23): لَّابِثِينَ فِيهَا أَحْقَابًا
Ayah (27): إِنَّهُمْ كَانُوا لَا يَرْجُونَ حِسَابًا
Ayah (30): فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
Ayah (36): جَزَاءً مِّن رَّبِّكَ عَطَاءً حِسَابًا

Total occurrences: 9",9
1,"Occurrences found:
Ayah (8): وَخَلَقْنَاكُمْ أَزْوَاجًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا
Ayah (16): وَجَنَّاتٍ أَلْفَافًا
Ayah (21): إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا
Ayah (23): لَّابِثِينَ فِيهَا أَحْقَابًا
Ayah (30): فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
Ayah (36): جَزَاءً مِّن رَّبِّكَ عَطَاءً حِسَابًا

Total occurrences: 8",8
2,"Occurrences found:
Ayah (8): وَخَلَقْنَاكُمْ أَزْوَاجًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا
Ayah (16): وَجَنَّاتٍ أَلْفَافًا
Ayah (21): إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا
Ayah (23): لَّابِثِينَ فِيهَا أَحْقَابًا
Ayah (27): إِنَّهُمْ كَانُوا لَا يَرْجُونَ حِسَابًا
Ayah (30): فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
Ayah (36): جَزَاءً مِّن رَّبِّكَ عَطَاءً حِسَابًا

Total occurrences: 9",9
3,"Occurrences found:
Ayah (8): وَخَلَقْنَاكُمْ أَزْوَاجًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا
Ayah (16): وَجَنَّاتٍ أَلْفَافًا
Ayah (21): إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا
Ayah (23): لَّابِثِينَ فِيهَا أَحْقَابًا
Ayah (27): إِنَّهُمْ كَانُوا لَا يَرْجُونَ حِسَابًا
Ayah (30): فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
Ayah (36): جَزَاءً مِّن رَّبِّكَ عَطَاءً حِسَابًا

Total occurrences: 9",9
4,"Occurrences found:
Ayah (8): وَخَلَقْنَاكُمْ أَزْوَاجًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا
Ayah (16): وَجَنَّاتٍ أَلْفَافًا
Ayah (21): إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا
Ayah (23): لَّابِثِينَ فِيهَا أَحْقَابًا
Ayah (27): إِنَّهُمْ كَانُوا لَا يَرْجُونَ حِسَابًا
Ayah (30): فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
Ayah (36): جَزَاءً مِّن رَّبِّكَ عَطَاءً حِسَابًا

Total occurrences: 9",9
5,"Occurrences found:
Ayah (8): وَخَلَقْنَاكُمْ أَزْوَاجًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا
Ayah (16): وَجَنَّاتٍ أَلْفَافًا
Ayah (21): إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا
Ayah (23): لَّابِثِينَ فِيهَا أَحْقَابًا
Ayah (27): إِنَّهُمْ كَانُوا لَا يَرْجُونَ حِسَابًا
Ayah (30): فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
Ayah (36): جَزَاءً مِّن رَّبِّكَ عَطَاءً حِسَابًا

Total occurrences: 9",9
6,"Occurrences found:
Ayah (8): وَخَلَقْنَاكُمْ أَزْوَاجًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا
Ayah (16): وَجَنَّاتٍ أَلْفَافًا
Ayah (21): إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا
Ayah (23): لَّابِثِينَ فِيهَا أَحْقَابًا
Ayah (27): إِنَّهُمْ كَانُوا لَا يَرْجُونَ حِسَابًا
Ayah (30): فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
Ayah (36): جَزَاءً مِّن رَّبِّكَ عَطَاءً حِسَابًا

Total occurrences: 9",9
7,"Occurrences found:
Ayah (8): وَخَلَقْنَاكُمْ أَزْوَاجًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا
Ayah (16): وَجَنَّاتٍ أَلْفَافًا
Ayah (21): إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا
Ayah (23): لَّابِثِينَ فِيهَا أَحْقَابًا
Ayah (27): إِنَّهُمْ كَانُوا لَا يَرْجُونَ حِسَابًا
Ayah (30): فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
Ayah (36): جَزَاءً مِّن رَّبِّكَ عَطَاءً حِسَابًا

Total occurrences: 9",9
8,"Occurrences found:
Ayah (8): وَخَلَقْنَاكُمْ أَزْوَاجًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا
Ayah (16): وَجَنَّاتٍ أَلْفَافًا
Ayah (21): إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا
Ayah (22): لِّلطَّاغِينَ مَآبًا
Ayah (24): لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
Ayah (27): إِنَّهُمْ كَانُوا لَا يَرْجُونَ حِسَابًا
Ayah (30): فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
Ayah (39): ذَٰلِكَ الْيَوْمُ الْحَقُّ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ مَآبًا

Number of occurrences found: 10",10
9,"Occurrences found:
Ayah (8): وَخَلَقْنَاكُمْ أَزْوَاجًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا
Ayah (16): وَجَنَّاتٍ أَلْفَافًا
Ayah (21): إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا
Ayah (22): لِّلطَّاغِينَ مَآبًا
Ayah (24): لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
Ayah (27): إِنَّهُمْ كَانُوا لَا يَرْجُونَ حِسَابًا
Ayah (30): فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
Ayah (39): ذَٰلِكَ الْيَوْمُ الْحَقُّ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ مَآبًا

Number of occurrences found: 10",10
10,"Occurrences found:
Ayah (8): وَخَلَقْنَاكُمْ أَزْوَاجًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا
Ayah (16): وَجَنَّاتٍ أَلْفَافًا
Ayah (21): إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا
Ayah (22): لِّلطَّاغِينَ مَآبًا
Ayah (24): لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
Ayah (27): إِنَّهُمْ كَانُوا لَا يَرْجُونَ حِسَابًا
Ayah (30): فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
Ayah (39): ذَٰلِكَ الْيَوْمُ الْحَقُّ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ مَآبًا

Total occurrences: 10",10
11,"Occurrences found:
Ayah (8): وَخَلَقْنَاكُمْ أَزْوَاجًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا
Ayah (16): وَجَنَّاتٍ أَلْفَافًا
Ayah (21): إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا
Ayah (22): لِّلطَّاغِينَ مَآبًا
Ayah (24): لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
Ayah (27): إِنَّهُمْ كَانُوا لَا يَرْجُونَ حِسَابًا
Ayah (30): فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
Ayah (39): ذَٰلِكَ الْيَوْمُ الْحَقُّ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ مَآبًا

Number of occurrences found: 10",10
